Магазин;Координаты;Дата и время;Товар;Производитель;Номер карты;Количество;Цена
Яндекс Маркет;59.941712, 30.34288;2024-01-15T13:59;соус;Heinz;2200 5640 9950 2438;3;504
Wildberries;60.006029, 30.249375;2024-09-05T12:48;спортивная куртка;champion;2200 7053 2840 4199;2;15560
DNS;59.830056, 30.378885;2024-06-18T18:30;лампа;philips;2200 5669 4948 6089;4;6456
DNS;59.927897, 30.318895;2024-03-29T16:09;смартфон;honor;5112 2364 2468 3107;3;53307
Яндекс Маркет;59.961181, 30.316858;2024-07-21T10:55;сок;Бабушкино лукошко;2200 4027 1425 9451;4;364
Сбермаркет;59.93869, 30.366028;2024-09-11T16:01;йогурт;Yoplait;5112 2325 9703 1836;3;219
М.Видео;59.98599, 30.217905;2024-06-07T15:41;проектор;sony;2200 4087 8865 4562;2;78176
Лента;59.829358, 30.379289;2024-09-12T08:11;молоко 1.5%;Слобода;4306 4342 6741 2524;7;469
Wildberries;59.961158, 30.323603;2024-01-13T18:32;куртка;moncler;2200 5637 9836 6717;7;529655
Красное&Белое;59.928903, 30.324819;2024-03-06T15:37;йогурт;Агуша;5112 2393 3625 3420;1;53
Мини Лента;59.863107, 30.190497;2024-01-17T15:43;приправы;Махеев;2200 7055 5358 8180;2;254
Пятёрочка;59.904705, 30.325356;2024-05-06T10:31;лапша;Доширак;2200 5691 9214 7000;6;306
О'Кей;59.843892, 30.179765;2024-05-10T15:15;масло;Слобода;2202 2096 5294 8687;6;1428
Wildberries;59.932882, 30.238207;2024-03-27T20:55;куртка;levi's;2200 4094 1211 3365;3;16809
М.Видео;59.830831, 30.50394;2024-04-17T08:30;клавиатура;acer;4306 4337 3730 4446;7;20755
Перекрёсток;59.952052, 30.23323;2024-02-05T21:00;соусы;Knorr;2202 2049 9641 8023;7;973
Спортмастер Pro;60.003644, 30.301632;2024-04-08T08:14;туфли;gucci;2200 4058 4745 3003;7;248241
Перекрёсток;59.974895, 30.317538;2024-05-01T13:30;кефир;Простоквашино;2200 4050 1868 2594;2;66
Красное&Белое;59.92946, 30.317276;2024-06-07T12:47;соки;Coca-Cola;2200 7080 3075 5210;1;132
Красное&Белое;59.934812, 30.271797;2024-05-29T18:29;шоколад;Ferrero;2200 5689 1408 4759;1;216
ВкусВилл;59.941861, 30.273627;2024-07-25T14:43;молоко;Простоквашино;4039 3364 5411 3831;7;252
М.Видео;60.012029, 30.398652;2024-01-01T18:24;наушники;vivo;5112 2336 7656 3676;1;2499
Гипер Лента;59.940061, 30.417131;2024-10-02T12:19;соус;Heinz;2200 5641 3831 1733;6;1146
О'кей;60.017172, 30.434582;2024-08-16T14:30;хлопья;Nestle;2202 2095 3596 7581;7;1554
Технопарк Рот Фронт;59.948783, 30.26169;2024-10-10T12:45;плеер;jvc;2200 5622 1291 6491;3;16896
Технопарк;59.77687, 30.68956;2024-09-09T11:03;материнская плата;amd;4377 7388 6403 2046;2;36380
Мини Лента;59.95786, 30.342121;2024-11-11T17:54;соусы;Heinz;4039 3391 6771 1066;5;760
Finn Flare;59.928337, 30.361288;2024-10-30T13:55;пальто;balmain;2200 5677 8056 7906;1;117557
Гипер Лента;59.955691, 30.244461;2024-10-07T17:33;творог;Домик в деревне;5112 2384 1471 2511;3;330
Магнит;59.996785, 30.273699;2024-04-06T18:14;мюсли;Nestle;2200 5622 3050 7347;3;483
Перекрёсток;59.958127, 30.313102;2024-08-08T21:56;хлопья;General Mills;2200 5690 9751 6849;5;900
DNS;59.908611, 30.482103;2024-06-11T11:27;утюг;panasonic;4377 7353 5619 8718;5;19780
Эльдорадо;59.89559, 30.516367;2024-02-13T09:22;наушники;jbl;2200 5634 6167 6430;4;40980
restore:;59.926461, 30.320493;2024-11-12T19:42;объектив;sigma;2200 7096 2608 1218;5;123000
Яндекс Маркет;59.955488, 30.327765;2024-01-22T09:20;платье;bershka;2200 5668 2924 6220;2;7952
Мини Лента;59.899934, 30.272266;2024-10-03T10:44;творог;Простоквашино;2200 5657 7906 9617;6;876
Пятёрочка;59.921632, 30.344517;2024-09-20T15:46;хлопья;Nestle;2200 5648 1181 1187;7;1610
М.Видео;59.830831, 30.50394;2024-02-20T10:15;мышь;acer;5228 6052 8346 4676;1;1714
Яндекс Маркет;59.978818, 30.370144;2024-11-05T10:44;свитер;ralph lauren;5389 9489 7416 5764;5;139345
Finn Flare;59.928337, 30.361288;2024-11-20T16:58;брюки;new balance;2200 5625 6736 7131;6;16944
Твоё;59.582113, 30.147388;2024-10-29T09:36;рубашка;uniqlo;2200 4098 5270 9053;7;11396
Твоё;59.93959, 30.417489;2024-10-24T16:55;брюки;columbia;2200 7055 6483 6095;1;4920
Яндекс Маркет;59.913957, 30.350399;2024-06-27T12:14;творог;Простоквашино;4986 2969 5107 7706;3;159
Пятёрочка;59.923644, 30.348069;2024-04-28T16:12;пюре;Бабушкино лукошко;2200 5653 7262 8628;1;67
re:Store;59.962236, 30.306058;2024-07-26T12:51;клавиатура;steelseries;2200 4039 5559 1805;6;64608
Сбермаркет;59.819636, 30.316447;2024-06-18T18:43;молоко;Простоквашино;2200 7023 6818 9783;5;125
DNS;59.895078, 30.492643;2024-07-06T13:42;телевизор;samsung;2200 4023 6827 2159;3;84081
Яндекс Маркет;59.900146, 30.307604;2024-01-10T14:32;куртка;merrell;5112 2348 7924 5616;2;23326
ВкусВилл;59.875384, 30.312626;2024-01-27T14:41;мюсли;Агрокомплекс;4377 7385 3106 6238;6;666
О'Кей;59.988145, 30.353066;2024-11-06T08:34;консервы;Bonduelle;2200 5661 1166 4527;5;940
Технополис Политехнический;60.006052, 30.379113;2024-06-27T15:37;наушники;bose;2200 5689 7285 1465;2;21724
Твоё;59.94575, 30.474457;2024-01-23T16:49;джинсы;wrangler;5112 2383 9474 7587;3;16638
О'кей;60.014426, 30.388464;2024-06-02T09:53;молоко;Милава;2200 4079 2173 7526;6;222
Яндекс Маркет;59.999764, 30.216236;2024-09-18T17:17;пальто;burberry;2200 5690 6265 6625;1;78322
Спортмастер;59.582051, 30.148589;2024-12-19T11:02;поло;lacoste;2200 4086 9204 1751;4;17320
О'кей;60.003013, 30.227407;2024-02-12T19:02;овсянка;Kellogg's;4306 4386 5884 4222;2;374
ВкусВилл;59.952919, 30.216924;2024-06-07T09:43;конфеты;Lindt;2202 2086 1626 5824;2;478
DNS;59.830056, 30.378885;2024-02-06T10:55;видеокарта;amd;5389 9411 6175 2488;1;55784
Магнит;59.920041, 30.371199;2024-08-28T08:42;йогурт;Савушкин продукт;4306 4335 8851 8870;3;183
Яндекс Маркет;59.940391, 30.264532;2024-09-23T15:34;творог;Домик в деревне;4306 4389 3461 6644;6;282
Гипер Лента;59.724489, 30.083939;2024-10-10T16:51;консервы;Campbell's;5112 2367 8194 6576;7;1218
Магнит;59.876334, 30.333781;2024-05-30T12:11;творог;Молочная культура;2200 5616 2482 5751;3;120
Мини Лента;59.899934, 30.272266;2024-07-04T20:28;кефир;Савушкин продукт;2200 5633 4972 7718;2;76
О'кей;60.037915, 30.32125;2024-09-23T15:39;йогурт;BioMax;5389 9461 1713 1982;7;518
Спортмастер;59.991377, 30.206595;2024-06-26T16:04;толстовка;off-white;2200 5643 5124 4389;2;33486
Красное&Белое;59.926878, 30.347785;2024-01-27T09:40;масло;Село Зеленое;5389 9488 6821 7625;3;228
Wildberries;59.941395, 30.350564;2024-08-26T19:47;шорты;nike;5112 2368 6325 6361;6;8976
Магнит;59.994693, 30.316033;2024-05-18T13:31;творог обезжиренный;Село Зеленое;2200 5631 8466 5738;5;255
Магнит;59.831781, 30.327759;2024-08-12T13:11;крупы;Верес;4039 3358 5890 2451;4;204
DNS;59.845008, 30.322844;2024-07-24T15:33;телевизор;sony;2200 7049 6119 7492;5;173985
ВкусВилл;59.902314, 30.319857;2024-09-24T20:19;кетчуп;Kraft;5211 9463 8550 7061;3;429
Красное&Белое;59.909428, 30.307024;2024-06-02T09:18;пюре;Nestle;2200 5678 6213 3418;5;675
Глобус;59.969982, 30.388975;2024-07-26T07:17;соки;Coca-Cola;5112 2339 1856 8448;1;114
Wildberries;59.867791, 30.312239;2024-10-16T16:03;ремень;clarks;5211 9434 1736 7252;6;15060
Metro;59.94086, 30.456356;2024-05-26T11:07;кефир;Чудо;2200 5687 5552 3737;2;74
ВкусВилл;59.928106, 30.315916;2024-08-29T17:44;йогурт;Чудо;2200 5690 5815 7155;7;539
О'кей;59.929972, 30.433245;2024-10-19T09:07;масло;Простоквашино;5112 2368 7012 7450;5;385
DNS;59.883189, 30.370514;2024-02-05T10:55;планшет;realme;2200 5651 1342 7133;2;29966
Пятёрочка;59.915729, 30.297891;2024-05-20T08:12;приправы;Русский продукт;4306 4377 5235 9038;6;708
Пятёрочка;59.911656, 30.282913;2024-08-30T18:09;чипсы;Pringles;2200 5688 2586 1892;7;854
Гипер Лента;60.061285, 30.327938;2024-11-16T10:48;кефир;Агуша;4306 4344 2579 8361;5;195
Яндекс Маркет;59.913424, 30.286484;2024-12-22T20:49;кроссовки;reebok;4039 3313 3147 2466;3;15669
DNS;60.03567, 30.453346;2024-08-15T11:32;монитор;panasonic;2202 2018 2234 7816;6;130578
Ситилинк;58.539616, 31.262941;2024-10-12T12:48;планшет;honor;5389 9498 7222 9962;6;60744
Rendez-Vous;59.79258, 30.333326;2024-03-13T19:32;куртка;wrangler;5228 6080 9229 7896;3;19788
Спортмастер;60.016929, 30.246609;2024-01-11T17:48;куртка;timberland;2200 5668 3518 8209;6;71016
DNS;59.864412, 30.47255;2024-03-10T09:30;колонки;pioneer;2200 5670 7109 2140;4;39916
Яндекс Маркет;59.916947, 30.32797;2024-05-26T09:20;ремень;clarks;2200 5613 1536 1460;7;18634
Твоё;59.829004, 30.378286;2024-05-13T14:29;джинсы;wrangler;2200 5682 6281 8554;3;16521
Яндекс Маркет;59.934748, 30.336905;2024-05-20T16:59;творог;Милград;2200 5690 9323 7271;3;315
О'кей;59.583552, 30.138811;2024-05-29T13:40;снеки;Pringles;2200 5683 7498 4039;4;484
Стокманн;59.931722, 30.359157;2024-08-29T17:34;костюм;prada;2200 5648 1736 6355;7;384643
Globus;59.909273, 30.5138;2024-07-04T10:57;йогурт;Савушкин продукт;5112 2397 9908 4842;7;385
Ашан;59.894625, 30.513685;2024-08-09T10:27;кефир;Савушкин продукт;5211 9410 9774 1820;7;189
Street Beat;59.927063, 30.361072;2024-08-21T11:37;куртка;napapijri;2200 5628 9616 7808;4;225828
Красное&Белое;59.952132, 30.239269;2024-07-20T07:27;кетчуп;Heinz;2200 7084 7449 9079;3;459
DNS;59.908611, 30.482103;2024-07-08T14:15;планшет;zte;4986 2994 8402 4398;2;27346
Яндекс Маркет;59.983509, 30.215116;2024-01-12T08:36;шорты;champion;4306 4374 8975 4400;5;19955
Рандеву;60.035733, 30.364786;2024-04-15T21:47;шорты;lotto;2200 5646 1330 5401;6;23730
Супер Лента;60.06071, 30.43918;2024-02-19T09:50;кефир;Село Зеленое;4039 3371 5276 3768;2;62
Яндекс Маркет;59.935379, 30.362436;2024-02-04T07:12;пальто;balmain;4306 4334 6490 3828;1;109902
М.Видео;59.830831, 30.50394;2024-11-16T18:10;микроволновка;haier;4306 4372 6174 9454;3;40257
Глобус;59.969676, 30.338688;2024-12-18T10:13;консервы;Heinz;2200 5696 1780 7392;7;1582
Lichi;59.820557, 30.31807;2024-12-04T10:37;ботинки;jack wolfskin;5112 2330 5027 6969;6;84642
Твоё;59.819906, 30.318355;2024-06-27T19:30;ботинки;the north face;4306 4325 9874 3972;5;45495
Wildberries;59.958576, 30.222549;2024-10-18T13:31;пальто;gucci;2200 5680 8184 7195;6;550686
ВкусВилл;59.902314, 30.319857;2024-06-13T09:13;кефир;Danone;5112 2387 2786 7477;4;460
Ситилинк;59.702209, 30.381498;2024-02-08T19:39;компьютер;msi;4306 4333 3336 4668;2;93678
Wildberries;59.92507, 30.308235;2024-02-03T13:31;футболка;under armour;2200 5684 7553 8354;6;9810
Ситилинк;59.574938, 30.126914;2024-12-20T18:19;наушники;harman kardon;2200 5616 9503 3958;5;70120
Finn Flare;59.793288, 30.33353;2024-12-13T13:41;шорты;nike;2200 5659 3545 1907;7;10871
Индустриальный парк Greenstate;59.777281, 30.172703;2024-08-05T08:06;фотоаппарат;nikon;2200 5640 6040 7014;6;352062
Технопарк Санкт-Петербурга;59.969174, 30.314997;2024-02-02T16:20;планшет;apple;4306 4320 9731 7313;2;77992
Hiker;59.927197, 30.361655;2024-08-27T17:06;кроссовки;kappa;4306 4359 4793 2358;7;27923
Технопарк Арсенал;59.964016, 30.363991;2024-09-16T13:14;штатив;nikon;5112 2394 7274 9956;4;41568
Finn Flare;59.867328, 30.350585;2024-09-03T16:13;куртка;puma;5112 2399 2421 5749;4;21176
М.Видео;59.740675, 30.583023;2024-01-26T18:32;мышь;asus;5112 2353 1395 1431;3;8778
Пятёрочка;59.915729, 30.297891;2024-08-17T16:37;сметана;Милград;4306 4340 4514 5985;5;515
ВкусВилл;59.914832, 30.318451;2024-11-29T12:02;масло;Danone;4306 4340 4223 9594;1;118
Пятёрочка;59.920446, 30.297457;2024-03-04T20:20;хлопья;General Mills;2200 5612 3922 5705;4;808
Яндекс Маркет;59.904928, 30.316752;2024-02-15T17:50;джинсы;zara;2200 7038 5437 3368;3;11448
Красное&Белое;59.912573, 30.276898;2024-02-13T21:57;йогурт;Село Зеленое;4306 4383 9748 8615;3;159
Wildberries;59.961158, 30.323603;2024-01-09T20:29;кроссовки;saucony;2200 5626 8706 8585;5;31845
Ашан;59.894625, 30.513685;2024-04-23T13:52;молоко;Село Зеленое;4306 4385 6297 6637;6;156
Finn Flare;59.946738, 30.474828;2024-07-25T14:35;костюм;burberry;4306 4351 1412 5618;2;11212
Глобус;60.011197, 30.399973;2024-01-17T14:46;шоколад;Марс;5112 2355 5995 3776;7;1932
DNS;59.899893, 30.272049;2024-03-17T14:00;монитор;lg;2200 4065 3435 8132;4;62720
О'кей;60.083376, 29.954899;2024-08-06T09:05;соки;Coca-Cola;2200 5619 8668 4595;7;980
Перекрёсток;59.993683, 30.151735;2024-04-01T14:48;творог;Hochland;2200 5649 2079 4611;3;567
ВкусВилл;59.92808, 30.321341;2024-05-21T19:07;суп;Роллтон;5112 2381 3908 4328;2;242
PiterGSM;59.932429, 30.36603;2024-01-14T13:52;телевизор;toshiba;5112 2340 2939 5313;2;49856
М.Видео;60.002106, 30.272001;2024-10-08T10:50;процессор;intel;2200 5644 5193 5205;4;95244
Спортмастер;59.932782, 30.438477;2024-12-12T13:16;футболка;zara;2200 5694 2125 1283;2;2608
Ситилинк;59.830638, 30.384687;2024-01-13T11:55;мышь;dell;2200 5611 2097 8286;1;2225
Пятёрочка;59.931213, 30.348199;2024-10-07T15:23;специи;Русский продукт;2200 5667 3012 5164;6;450
Ситилинк;59.787765, 30.318108;2024-04-10T20:11;планшет;xiaomi;4306 4374 2963 2331;7;113309
Гипер Лента;59.869494, 29.828101;2024-03-06T10:59;молоко;Рузское молоко;4306 4320 4651 9576;4;112
Ситилинк;59.850778, 30.394586;2024-03-10T18:57;фотоаппарат;nikon;5112 2396 4560 9398;1;67814
DNS;59.903088, 29.768237;2024-12-16T15:31;наушники;sennheiser;2200 5629 2514 6708;4;55204
Яндекс Маркет;59.971303, 30.433835;2024-06-11T10:21;пальто;h&m;4039 3365 7864 8395;3;26070
Яндекс Маркет;59.930124, 30.413416;2024-09-05T09:50;бейсболка;converse;4377 7361 8164 6279;3;3150
Wildberries;59.932882, 30.238207;2024-08-29T10:56;ремень;clarks;4306 4338 7407 8965;5;14070
Wildberries;59.948976, 30.366998;2024-01-06T12:12;спортивные брюки;puma;5112 2327 3018 2430;7;16429
Мини Лента;59.95786, 30.342121;2024-09-04T08:47;соки;PepsiCo;2200 5616 3828 2058;6;732
ВкусВилл;59.911511, 30.317943;2024-06-25T10:46;конфеты;Ferrero;5112 2380 8968 7935;6;1500
Спортмастер Pro;59.825163, 30.31919;2024-04-17T20:02;костюм;yves saint laurent;2200 4026 4231 6029;1;135241
Эльдорадо;60.02228, 30.225802;2024-09-04T11:04;гарнитура;steelseries;4986 2926 9372 9468;7;41734
Перекрёсток;59.851407, 30.276874;2024-05-13T11:16;майонез;Calve;5389 9483 9198 3478;1;191
Красное&Белое;59.92608, 30.352315;2024-08-22T21:44;творог;Милава;2202 2084 1640 2108;4;156
DNS;59.852389, 30.354505;2024-09-17T15:52;смартфон;oneplus;2200 5698 9169 4717;1;28382
Азбука Вкуса;59.967178, 30.272869;2024-12-17T17:37;кефир;Волоконовское;2200 5655 9457 2200;7;189
Красное&Белое;59.962695, 30.324192;2024-06-19T15:43;молоко;Милава;2200 5618 4127 8076;5;130
Яндекс Маркет;59.905076, 30.31089;2024-08-27T14:39;пуховик;napapijri;2200 5633 7912 3110;2;163020
Перекрёсток;59.703591, 30.384758;2024-05-27T14:48;кефир;Бежин луг;2200 4022 5402 8394;7;245
Wildberries;59.911851, 30.350042;2024-05-15T17:28;куртка;mammut;2200 5633 6077 2947;3;62115
Красное&Белое;59.944106, 30.345675;2024-12-08T12:11;десерты;Nestle;2200 5692 1290 4647;4;716
Яндекс Маркет;59.856565, 30.317911;2024-09-06T16:23;суп;Heinz;2200 7025 4656 2616;3;270
DNS;59.990509, 30.646148;2024-04-28T10:30;датчик сердечного ритма;garmin;2200 5692 1797 9175;4;25704
Азбука вкуса;59.942178, 30.225444;2024-01-25T09:34;овсянка;Quaker;2200 5626 8182 4331;3;444
Яндекс Маркет;59.934748, 30.336905;2024-04-04T09:48;кефир;President;4986 2968 3860 2190;1;35
Гипер Лента;60.038992, 30.24024;2024-10-12T13:00;йогурт;Бабушкино лукошко;2200 5629 2821 3329;5;350
Metro;60.002895, 30.267948;2024-10-09T13:32;йогурт;Danone;5112 2391 8051 8721;5;410
Технополис Политехнический;60.006052, 30.379113;2024-07-27T08:13;клавиатура;logitech;2200 5651 1745 2882;5;21110
Стокманн;59.849335, 30.145502;2024-07-31T18:07;куртка;salomon;4306 4328 6154 5038;1;13093
Ситилинк;59.966564, 30.310314;2024-12-16T15:22;проектор;sony;5112 2354 3106 7492;6;240078
DNS;59.908611, 30.482103;2024-04-07T19:25;мышь;hp;2200 5656 9032 5680;2;5856
Мини Лента;59.95786, 30.342121;2024-02-13T13:31;сыр;Президент;5112 2391 8895 8220;4;1276
Пятёрочка;59.944225, 30.357423;2024-04-18T10:18;ряженка;Бежин луг;2200 5635 1591 2570;1;39
Ситилинк;59.83604, 30.135408;2024-02-24T18:16;камера;sony;2200 5689 9130 8056;1;23017
Wildberries;59.911689, 30.321351;2024-05-21T14:07;кепка;under armour;2200 5675 8354 2615;5;4255
Красное&Белое;59.934149, 30.26734;2024-02-22T10:34;хлопья;Здорово;2200 5616 2889 3672;2;338
Спортмастер;59.849006, 30.145713;2024-10-29T10:35;поло;fred perry;2200 5691 2028 5915;4;22264
Эльдорадо;59.990684, 30.257579;2024-05-21T16:10;наушники;jbl;2200 7066 2788 3708;2;20984
Эльдорадо;59.910958, 30.444849;2024-05-08T17:11;наушники;sony;2200 5634 8671 2235;1;11104
Спортмастер Pro;60.059624, 30.33443;2024-03-21T15:47;футболка;patagonia;4306 4318 2856 3854;7;13657
Wildberries;59.917756, 30.296581;2024-12-06T16:31;поло;polo ralph lauren;2200 5661 7505 6801;7;22218
Твоё;59.932979, 30.438459;2024-12-14T19:54;кепка;under armour;2200 5618 5879 7219;4;3056
Гипер Лента;59.934487, 30.497015;2024-02-09T12:49;молоко;Простоквашино;2200 5673 4975 9000;3;81
Ситилинк;59.947941, 30.236852;2024-09-20T20:59;мышь;asus;5112 2323 9347 4972;4;10288
DNS;60.052644, 30.311645;2024-07-05T11:16;усилитель;yamaha;2200 5681 7079 8045;1;34292
Finn Flare;59.820395, 30.318179;2024-04-23T18:20;рубашка;muji;4306 4321 2860 9271;3;4881
Мини Лента;59.919861, 30.346787;2024-12-18T15:12;вода;Coca-Cola;2200 5668 3291 3512;2;86
М.Видео;59.855638, 30.224285;2024-06-17T12:09;объектив;nikon;2202 2037 2594 9831;3;102075
ВкусВилл;59.914832, 30.318451;2024-04-10T10:18;творог;Агуша;2200 5672 6672 2850;3;417
Магнит;59.988972, 30.311478;2024-03-01T13:03;мюсли;General Mills;4377 7396 4307 7023;5;580
Яндекс Маркет;59.900146, 30.307604;2024-12-01T18:15;джинсы;american eagle;2200 5638 8804 5914;5;18870
restore:;59.893985, 30.515375;2024-01-31T14:45;часы;xiaomi;4377 7355 4973 5148;1;6744
М.Видео;59.81842, 30.316717;2024-12-23T11:34;роутер;asus;2200 5676 1394 1261;7;23527
DNS;59.988516, 30.254699;2024-04-01T11:58;наушники;xiaomi;2202 2089 1176 9163;5;12295
Гипер Лента;59.80712, 30.162136;2024-03-01T08:50;творог обезжиренный;Валио;4306 4326 3723 4793;2;96
Wildberries;59.911689, 30.321351;2024-12-14T17:33;бейсболка;dc;2200 7095 3468 5875;2;2994
Магнит;59.940229, 30.344944;2024-04-30T15:22;батончики;Nestle;2200 5633 8344 2261;4;664
Эльдорадо;60.004835, 30.300347;2024-04-30T18:05;зарядное устройство;huawei;2200 5681 5883 7586;3;3171
Пятёрочка;59.906939, 30.243936;2024-06-05T20:02;творог;Almette;5112 2358 4500 5899;3;579
Перекрёсток;59.985776, 30.219771;2024-12-28T11:57;мюсли;Агрокомплекс;4986 2954 4497 5764;5;645
Ситилинк;59.850778, 30.394586;2024-02-27T14:27;фитнес-трекер;garmin;2200 5626 1429 8546;7;48776
Красное&Белое;59.928654, 30.349752;2024-01-22T14:17;йогурт;BioMax;2200 5678 6697 1921;4;352
ВкусВилл;60.006254, 30.402467;2024-04-13T14:16;макароны;Макфа;2200 4099 4781 5820;1;49
Wildberries;59.928533, 30.314139;2024-03-19T11:37;шапка;canada goose;2200 5623 3317 2067;4;39208
М.Видео;59.826062, 30.316201;2024-08-08T16:31;адаптер;netgear;4306 4397 5494 9539;2;3690
ВкусВилл;59.878261, 30.318976;2024-02-10T07:07;шоколад;Рот Фронт;2200 4045 1960 5834;3;675
Яндекс Маркет;59.950423, 30.23407;2024-03-25T15:42;спортивная куртка;lotto;5112 2384 8546 4723;6;35622
Гипер Лента;59.869494, 29.828101;2024-12-14T17:41;десерты;Ferrero;5389 9493 8537 2229;5;1040
Магнит;59.940229, 30.344944;2024-06-01T08:37;молоко;Село Зеленое;2200 5656 2408 8036;2;52
Перекресток;59.919056, 30.339535;2024-01-12T14:15;творог;Простоквашино;4306 4341 3085 6428;2;112
ВкусВилл;59.852301, 30.266043;2024-12-06T18:23;конфеты;Nestle;5389 9457 8333 7842;3;291
Ленполиграфмаш;59.96881, 30.315137;2024-01-26T15:10;колонки;pioneer;5389 9424 8747 9621;4;64008
Твое;59.850142, 30.268157;2024-03-02T18:04;куртка;wrangler;2200 5636 6518 2764;1;8010
Rendez-Vous;59.893118, 30.51616;2024-02-02T13:22;поло;calvin klein;2200 5696 6965 7138;3;15711
Пятёрочка;59.938989, 30.34796;2024-11-07T09:12;индейка;Tyson;2200 5614 5189 9990;7;2114
Ситилинк;59.836205, 30.342154;2024-07-27T20:00;усилитель;bose;4986 2974 7250 8063;2;66064
Перекресток;59.882592, 30.371049;2024-05-31T09:52;вермишель;Роллтон;4306 4375 5162 6945;3;75
Street Beat;59.893319, 30.513815;2024-01-18T07:51;толстовка;off-white;5112 2396 7438 8574;4;76764
О'Кей;59.843892, 30.179765;2024-12-12T11:22;кефир;ВкусВилл;2200 5651 3577 7471;1;61
Пятёрочка;59.930595, 30.243763;2024-11-03T08:56;творог;Чудо;2200 5683 7788 9201;2;110
Wildberries;59.947194, 30.27761;2024-08-12T16:27;куртка;stradivarius;2200 7072 8191 6730;4;21524
Пятёрочка;59.925627, 30.283451;2024-09-27T15:47;консервы;Лесной Гурман;5112 2313 5403 2177;5;465
DNS;59.702543, 30.38151;2024-05-11T13:11;видеокарта;amd;2202 2059 3154 2335;7;314748
М.Видео;60.004999, 30.301431;2024-10-21T20:40;телевизор;toshiba;5112 2397 6665 4414;1;37857
М.Видео;59.830831, 30.50394;2024-10-26T15:05;наушники;denon;2202 2021 5112 9613;6;59100
Красное&Белое;59.926437, 30.378026;2024-11-29T13:45;масло;Президент;4306 4362 5583 6452;4;244
Павловский коммунальный технопарк;59.810663, 30.880104;2024-05-03T13:03;наушники;oppo;4306 4353 7771 3834;7;20195
Rendez-Vous;59.893118, 30.51616;2024-04-03T14:45;шапка;canada goose;2200 5650 1985 6439;1;15253
О'кей;60.037915, 30.32125;2024-11-11T19:07;сметана;Dannon;4306 4329 6277 2681;2;212
Пятёрочка;59.944225, 30.357423;2024-07-04T10:48;мюсли;Kellogg's;2200 7059 8202 3434;7;945
ВкусВилл;59.901631, 30.512857;2024-10-08T13:39;творог;Dannon;4986 2911 1821 8338;4;508
ВкусВилл;59.902314, 30.319857;2024-04-29T18:42;молоко;Савушкин продукт;2200 5661 9596 6786;4;112
Мини Лента;59.940086, 30.213243;2024-05-08T19:44;сметана;Yoplait;2200 5695 8641 6200;7;952
М.Видео;59.81842, 30.316717;2024-10-20T19:55;микроволновка;haier;2200 5651 3434 5234;6;83334
Яндекс Маркет;59.915946, 30.510713;2024-03-01T15:13;кроссовки;kappa;5112 2385 5367 2423;7;28693
Wildberries;59.961158, 30.323603;2024-11-27T09:19;пуховик;napapijri;4306 4397 1532 1783;5;485150
Яндекс Маркет;59.929458, 30.352266;2024-07-15T09:30;снеки;Pringles;2200 4036 1247 7672;2;206
Перекрёсток;59.919236, 30.464655;2024-11-18T17:34;супы;Heinz;5112 2385 4034 3448;4;520
О'Кей;59.989069, 30.225281;2024-12-11T12:16;пюре;Bonduelle;5389 9430 9864 4585;6;540
Перекрёсток;59.912758, 30.447066;2024-06-27T21:55;масло;Савушкин продукт;4039 3314 6882 6801;6;414
ВкусВилл;59.937761, 30.436278;2024-05-01T19:23;соусы;McCormick;4306 4388 5261 5384;5;705
Технопарк Боровая;59.912663, 30.34005;2024-08-24T09:13;усилитель;denon;2200 5634 3180 2153;1;13637
Перекрёсток;59.863413, 30.40474;2024-04-21T16:10;макароны;Макфа;2200 7070 1650 4141;2;120
Finn Flare;59.849057, 30.144838;2024-11-09T18:10;рубашка;muji;5112 2363 4382 4151;1;1808
Finn Flare;59.98751, 30.355049;2024-12-30T10:03;рубашка;lacoste;2200 5699 3322 3974;7;34419
Wildberries;59.928533, 30.314139;2024-11-24T11:08;рюкзак;salomon;5228 6057 2933 4285;7;82166
Мини Лента;59.835748, 30.116541;2024-02-21T15:49;колбаса;Велком;2200 5692 2341 7811;1;281
Спортмастер;59.946532, 30.474609;2024-03-08T11:15;костюм;gucci;2200 7038 6553 4133;5;675985
Красное&Белое;59.887513, 30.320233;2024-12-01T09:38;масло;Danone;5112 2391 2984 4592;6;696
Промышленный Парк;59.908827, 30.74131;2024-12-07T10:27;зарядное устройство;samsung;4306 4389 1042 1446;7;9177
Спортмастер;59.582051, 30.148589;2024-11-05T18:16;толстовка;gap;2200 5685 7410 2236;1;3519
Wildberries;59.911851, 30.350042;2024-12-22T12:12;туфли;gucci;5112 2382 5227 7053;5;130265
Ситилинк;60.145061, 30.21064;2024-11-01T18:04;наушники беспроводные;apple;2200 7040 6576 3832;2;22134
Яндекс Маркет;59.935926, 30.267179;2024-02-23T12:35;туфли;gucci;2200 5676 6142 9762;3;103503
Гипер Лента;60.031442, 30.435033;2024-11-10T17:39;молоко 3.2%;Савушкин продукт;5112 2315 5184 7642;6;306
Finn Flare;59.793288, 30.33353;2024-05-09T09:40;толстовка;dc;5112 2390 2237 5006;4;17760
Пятёрочка;59.903847, 30.312851;2024-07-03T15:06;майонез;Calve;5112 2381 1066 6645;3;459
